build_failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,git_num_all_built_commits,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,year_of_start,month_of_start,day_of_start,hour_of_start,elapsed_days_last_build,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,comm_avg_experience,totalNumberOfRevisions,no_config_edited,num_files_edited,num_distinct_authors,prev_build_result,day_week
0,0,1,47,1,0,2,0,0,0,1,0,0,1,0,0,10,10646,451.5310915,39.82716513,71.20045087,1,2013,2,1,18,0,1,0.6923077,1,0.6923077,1,13,1,0,1,1,0,6
0,0,1,47,2,0,107,0,1,1,5,0,0,6,0,1,364,10643,451.658367,39.83839143,71.22052053,1,2013,2,1,19,0,1,0.64285713,1,0.64285713,1,14,6,1,6,1,0,6
0,0,1,47,1,0,2,0,0,0,2,0,0,1,0,1,253,10643,451.658367,39.83839143,71.22052053,1,2013,2,1,21,0,1,0.6,1,0.6,1,15,2,1,2,1,0,6
0,0,1,47,1,0,4,0,0,0,2,0,0,1,0,1,255,10647,451.4886823,39.82342444,71.1937635,1,2013,2,1,22,0,1,0.5625,1,0.5625,1,16,2,1,2,1,0,6
0,0,1,47,1,0,27,0,0,0,1,0,0,1,0,0,24,10651,451.319125,39.80846869,71.16702657,1,2013,2,3,0,2,1,0.5294118,1,0.5294118,1,17,1,0,1,1,0,1
0,0,1,47,1,0,9,0,0,0,2,0,0,1,0,1,254,10653,451.2343941,39.80099502,71.15366563,1,2013,2,3,0,0,1,0.5,1,0.5,1,18,2,1,2,1,0,1
0,0,1,47,8,0,488,0,11,0,12,0,0,14,0,1,475,10932,439.7182583,38.78521771,69.33772411,1,2013,2,3,8,0,1,0.47368422,1,0.47368422,1,19,74,3,30,1,0,1
0,0,1,47,1,0,145,0,1,0,2,0,0,3,0,0,5,11007,436.7220859,38.52094122,68.86526756,1,2013,2,3,18,0,1,0.45,1,0.45,1,20,3,0,3,1,0,1
0,0,1,47,5,0,50,0,0,0,3,0,0,3,0,0,6,11030,435.8114234,38.4406165,68.72166818,1,2013,2,3,18,0,1,0.42857143,1,0.42857143,1,21,9,0,5,1,0,1
0,0,1,47,2,0,74,0,2,0,5,0,0,6,0,1,262,11084,433.6881992,38.25333815,68.38686395,1,2013,2,3,18,0,1,0.4090909,1,0.4090909,1,22,7,1,7,1,0,1
0,0,1,47,2,0,17,0,0,0,2,0,0,2,0,0,244,11085,433.6490753,38.24988724,68.38069463,1,2013,2,3,20,0,1,0.39130434,1,0.39130434,1,23,2,0,2,1,0,1
0,0,1,47,2,0,31,0,0,0,4,0,0,3,0,1,472,11094,433.2972778,38.21885704,68.32522084,1,2013,2,3,21,0,1,0.375,1,0.375,1,24,4,1,4,1,0,1
0,0,1,47,1,0,8,0,0,0,2,0,0,1,0,1,257,11098,433.1411065,38.205082,68.3005947,1,2013,2,3,21,0,1,0.36,1,0.36,1,25,2,1,2,1,0,1
0,0,1,47,1,0,57,0,0,2,0,0,0,2,0,0,7,11056,434.7865412,38.35021708,68.56005789,1,2013,2,3,21,0,0,0,0,0,0,0,2,0,2,1,0,1
0,0,1,47,3,0,104,0,0,0,7,0,0,6,0,1,610,11084,433.6881992,38.25333815,68.38686395,1,2013,2,3,22,0,1,0,0,0,0,1,18,3,10,1,0,1
0,0,1,47,3,0,18,0,0,0,3,0,0,3,0,0,301,11088,433.531746,38.23953824,68.36219336,1,2013,2,3,22,0,1,0,0,0,0,2,9,0,5,1,0,1
0,0,1,47,1,0,12,0,0,0,3,0,0,2,0,1,269,11096,433.2191781,38.21196828,68.31290555,1,2013,2,3,22,0,1,0,0,0,0,3,3,1,3,1,0,1
0,0,1,47,1,0,11,0,0,0,1,0,0,1,0,0,5,11095,433.2582244,38.21541235,68.31906264,1,2013,2,4,1,1,1,0,0,0,0,4,1,0,1,1,0,2
0,0,1,47,1,0,91,0,0,0,1,0,0,1,0,0,110,11014,436.4445251,38.49645905,68.82149991,1,2013,2,4,2,0,1,0,0,0,0,5,1,0,1,1,0,2
0,1,1,47,1,0,14,0,0,0,1,0,0,1,0,0,3,11014,436.4445251,38.49645905,68.82149991,1,2013,2,4,11,0,0,0,0,0,0,0,1,0,1,1,0,2
0,0,1,47,6,0,127,0,2,0,8,0,0,8,0,1,511,11094,433.2972778,38.21885704,68.32522084,1,2013,2,4,18,0,0,0,0,0,0,0,15,1,11,1,0,2
0,0,1,47,1,0,8,0,0,0,1,0,0,1,0,0,8,11098,433.1411065,38.205082,68.3005947,1,2013,2,4,19,0,1,0,0,0,0,1,1,0,1,1,0,2
0,0,1,47,2,0,20,0,0,0,3,0,0,3,0,0,114,11105,432.8680774,38.18099955,68.25754165,1,2013,2,4,19,0,1,0,0,0,0,2,3,0,3,1,0,2
0,0,1,47,1,1,0,0,0,0,1,0,0,0,1,0,28,11105,432.8680774,38.18099955,68.25754165,1,2013,2,4,19,0,1,0,0,0,0,3,1,0,1,1,0,2
0,0,1,47,2,0,30,0,0,0,1,0,0,1,0,0,14,11118,432.3619356,38.13635546,68.17772981,1,2013,2,4,21,0,1,0,0,0,0,4,4,0,2,1,0,2
0,0,1,47,1,0,2,0,0,0,1,0,0,1,0,0,16,11120,432.2841727,38.1294964,68.16546763,1,2013,2,4,21,0,1,0,0,0,0,5,1,0,1,1,0,2
0,0,1,47,1,0,3,0,0,0,1,0,0,1,0,0,17,11121,432.2453017,38.1260678,68.15933819,1,2013,2,5,5,1,1,0,0,0,0,6,1,0,1,1,0,3
0,0,1,47,1,0,12,29,0,0,2,0,0,2,0,0,38,11126,433.2194859,38.28869315,68.30846665,1,2013,2,5,5,0,1,0,0,0,0,7,2,0,2,1,0,3
0,0,1,47,1,0,8,4,0,0,2,0,0,2,0,0,4,11129,433.19256,38.27837182,68.29005301,1,2013,2,5,5,0,1,0,0,0,0,8,2,0,2,1,0,3
0,0,1,48,3,0,174,0,0,1,4,0,0,3,0,1,500,11124,433.3872708,38.29557713,68.32074793,1,2013,2,5,20,0,1,0,0,0,0,9,10,1,6,1,0,3
1,0,1,49,1,0,16,0,0,0,1,0,0,1,0,0,35,11125,433.3483146,38.29213483,68.31460674,1,2013,2,6,5,1,1,0,0,0,0,10,1,0,1,1,0,4
0,0,1,49,1,0,0,8,0,0,1,0,0,1,0,0,25,11125,433.3483146,38.29213483,68.31460674,1,2013,2,6,5,0,1,0.083333336,0,0.09090909,0,11,1,0,1,1,1,4
0,0,1,49,1,0,14,0,0,0,1,0,0,1,0,0,29,11133,433.0369173,38.2646187,68.26551693,1,2013,2,6,5,0,1,0.07692308,0,0.083333336,0,12,1,0,1,1,0,4
0,0,1,49,1,0,54,0,0,0,3,0,0,2,0,1,270,11139,432.8036628,38.24400754,68.22874585,1,2013,2,6,6,0,1,0.071428575,0,0.07692308,0,13,3,1,3,1,0,4
0,0,1,49,1,0,11,0,0,0,2,0,0,2,0,0,11,11147,432.4930475,38.21656051,68.17977931,1,2013,2,6,6,0,1,0.06666667,0,0.071428575,0,14,2,0,2,1,0,4
0,0,1,49,4,0,29,0,0,0,4,0,0,4,0,0,68,11161,431.9505421,38.16862288,68.09425679,1,2013,2,6,6,0,0,0.0625,0,0.06666667,0,7.5,4,0,4,2,0,4
0,0,1,49,1,0,5,0,0,0,1,0,0,1,0,0,5,11162,431.9118438,38.16520337,68.08815624,1,2013,2,6,19,0,0,0.05882353,0,0.0625,0,16,1,0,1,1,0,4
0,0,2,49,1,0,203,176,2,0,8,0,0,10,0,0,78,11021,440.8855821,38.83495146,69.5036748,1,2013,2,6,23,-1,0,0,0,0,0,0,46,0,28,1,0,4
0,0,1,49,1,0,15,0,0,0,1,0,0,1,0,0,5,11024,440.7656023,38.82438316,69.48476052,1,2013,2,7,0,1,1,0,0,0,0,1,1,0,1,1,0,5
0,0,1,49,1,0,9,0,0,0,2,0,0,2,0,0,42,11025,440.7256236,38.82086168,69.47845805,1,2013,2,7,0,0,1,0,0,0,0,2,2,0,2,1,0,5
0,0,1,49,1,0,14,0,0,0,1,0,0,1,0,0,27,11031,440.4859034,38.79974617,69.44066721,1,2013,2,7,0,0,1,0,0,0,0,3,1,0,1,1,0,5
0,0,1,49,1,0,3,0,0,0,2,0,0,1,0,1,264,11032,440.4459753,38.79622915,69.43437273,1,2013,2,7,1,0,1,0,0,0,0,4,2,1,2,1,0,5
0,0,1,49,1,0,8,0,0,0,3,0,0,2,0,1,292,11037,440.2464438,38.77865362,69.40291746,1,2013,2,7,2,0,1,0,0,0,0,5,3,1,3,1,0,5
1,0,1,49,1,0,20,11,0,1,4,0,0,5,0,0,93,11030,441.2511333,38.89392566,69.53762466,1,2013,2,7,2,0,1,0,0,0,0,6,5,0,5,1,0,5
0,0,1,49,1,0,0,16,0,1,0,0,0,1,0,0,5,11030,440.0725295,38.71260199,69.26563917,1,2013,2,7,7,0,1,0.14285715,0,0.14285715,0,7,1,0,1,1,1,5
0,1,1,49,1,0,0,0,0,0,1,0,0,0,0,1,266,11030,440.0725295,38.71260199,69.26563917,0,2013,2,7,12,0,0,0.125,0,0,0,0,1,1,1,1,0,5
0,0,1,49,1,0,4,0,0,0,1,0,0,1,0,0,251,11032,439.9927484,38.70558376,69.25308194,1,2013,2,7,20,0,0,0,0,0,0,0,1,0,1,1,0,5
0,0,1,49,1,0,4,0,0,0,1,0,0,1,0,0,28,11035,439.8731309,38.69506117,69.23425464,1,2013,2,7,23,0,1,0,0,0,0,1,1,0,1,1,0,5
0,0,1,49,1,0,1,0,0,0,1,0,0,1,0,0,12,11036,439.8332729,38.69155491,69.22798115,1,2013,2,7,23,0,1,0,0,0,0,2,1,0,1,1,0,5
0,0,1,49,1,0,25,0,0,0,1,0,0,1,0,0,9,11051,439.2362682,38.63903719,69.13401502,1,2013,2,8,0,1,1,0,0,0,0,3,1,0,1,1,0,6
0,0,1,49,1,0,0,0,0,0,1,0,0,0,0,1,268,11051,439.2362682,38.63903719,69.13401502,1,2013,2,8,0,0,1,0,0,0,0,4,1,1,1,1,0,6
0,0,1,49,1,0,6,0,0,0,1,0,0,1,0,0,3,11054,439.1170617,38.62855075,69.1152524,1,2013,2,8,2,0,1,0,0,0,0,5,1,0,1,1,0,6
0,0,1,49,4,0,414,0,2,1,9,0,0,11,0,1,397,11056,439.0376266,38.62156295,69.10274964,1,2013,2,9,0,1,1,0,0,0,0,6,15,1,13,1,0,7
0,0,1,49,1,0,6,0,0,0,1,0,0,1,0,0,1,11056,439.0376266,38.62156295,69.10274964,1,2013,2,9,0,0,1,0,0,0,0,7,1,0,1,1,0,7
0,0,1,49,1,0,10,0,0,0,1,0,0,1,0,0,29,11061,438.8391646,38.60410451,69.07151252,1,2013,2,9,0,0,1,0,0,0,0,8,1,0,1,1,0,7
0,0,1,49,2,0,45,17,0,0,4,0,0,3,0,1,277,11084,438.5600866,38.61421869,69.10862505,1,2013,2,9,0,0,1,0,0,0,0,9,7,1,5,1,0,7
0,0,1,49,3,0,219,46,3,0,4,0,0,5,0,1,760,11187,437.5614553,38.61625101,68.74050237,1,2013,2,9,6,0,0,0,0,0,0,5,9,1,7,2,0,7
0,0,1,49,2,0,6,13,0,0,1,0,0,3,0,0,7,11187,437.5614553,38.61625101,68.74050237,1,2013,2,9,6,0,0,0,0,0,0,11,3,0,3,1,0,7
0,1,1,49,1,0,0,0,0,0,1,0,0,0,0,1,272,11187,437.5614553,38.61625101,68.74050237,0,2013,2,13,16,4,0,0,0,0,0,0,1,1,1,1,0,4
0,0,1,49,3,0,50,0,0,0,2,0,0,2,0,0,51,11206,436.8195609,38.55077637,68.62395145,1,2013,2,19,1,6,0,0,0,0,0,0,5,0,3,1,0,3
0,0,1,49,1,0,4,0,0,0,1,0,0,1,0,0,252,11205,436.8585453,38.55421687,68.63007586,1,2013,2,21,4,2,1,0,0,0,0,1,1,0,1,1,0,5
0,0,1,49,1,0,7,0,0,0,1,0,0,1,0,0,6,11201,437.0145523,38.567985,68.65458441,1,2013,2,21,19,0,1,0,0,0,0,2,1,0,1,1,0,5
0,0,1,49,1,0,32,45,0,0,2,0,0,2,0,0,4,11201,439.6036068,38.567985,68.65458441,1,2013,2,22,20,1,1,0,0,0,0,3,2,0,2,1,0,6
0,0,1,49,2,0,20,57,0,0,7,0,0,7,0,0,68,11204,443.3238129,38.82541949,69.4394859,1,2013,2,22,20,0,1,0,0,0,0,4,7,0,7,1,0,6
0,0,1,49,2,0,24,19,0,0,3,0,0,2,0,1,306,11212,444.3453443,38.97609704,69.65750981,1,2013,2,22,21,0,1,0,0,0,0,5,9,0,5,1,0,6
0,0,1,49,3,0,30,13,0,0,3,0,0,3,0,0,387,11217,445.0387804,39.04787376,69.71561023,1,2013,2,22,23,0,1,0,0,0,0,6,6,0,4,1,0,6
0,0,1,49,1,0,2,0,0,0,1,0,0,1,0,0,256,11217,445.0387804,39.04787376,69.71561023,1,2013,2,22,23,0,1,0,0,0,0,7,1,0,1,1,0,6
0,0,1,49,1,0,5,0,0,0,1,0,0,1,0,0,257,11220,444.9197861,39.03743316,69.6969697,1,2013,2,23,0,1,1,0,0,0,0,8,1,0,1,1,0,7
0,0,1,49,1,0,2,0,0,0,1,0,0,1,0,0,6,11220,444.9197861,39.03743316,69.6969697,1,2013,2,23,19,0,1,0,0,0,0,9,1,0,1,1,0,7
0,0,1,49,2,0,14,15,0,0,3,0,0,3,0,0,708,11222,445.9989307,39.11958653,69.77365888,1,2013,2,23,20,0,1,0,0,0,0,10,6,0,4,1,0,7
0,0,1,49,1,0,0,9,0,0,1,0,0,1,0,0,50,11222,446.8900374,39.2086972,70.04099091,1,2013,2,26,19,1,0,0,0,0,0,11,4,0,2,1,0,3
0,0,1,49,1,0,0,43,0,0,1,0,0,1,0,0,51,11222,447.2464801,39.2086972,70.04099091,1,2013,2,26,19,0,1,0,0,0,0,12,1,0,1,1,0,3
0,0,1,49,4,0,283,0,2,1,3,0,0,5,0,0,68,11265,445.539281,39.0590324,69.77363515,1,2013,2,26,21,0,1,0,0,0,0,13,13,0,7,1,0,3
0,0,1,49,1,0,2,0,0,0,1,0,0,1,0,0,171,11265,445.539281,39.0590324,69.77363515,1,2013,2,27,19,1,1,0,0,0,0,14,1,0,1,1,0,4
0,0,1,49,2,0,9,0,0,0,2,0,0,2,0,0,75,11267,445.4601935,39.05209905,69.76124967,1,2013,2,27,21,0,1,0,0,0,0,15,2,0,2,1,0,4
0,0,1,49,2,0,17,0,0,0,2,0,0,1,0,1,275,11273,445.2230994,39.03131376,69.72411958,1,2013,2,28,3,1,1,0,0,0,0,16,2,1,2,1,0,5
0,0,1,49,1,0,4,0,0,0,1,0,0,1,0,0,3,11273,445.2230994,39.03131376,69.72411958,1,2013,2,28,3,0,1,0,0,0,0,17,1,0,1,1,0,5
0,0,1,49,1,0,52,0,1,1,3,0,0,4,0,1,361,11274,445.1836083,39.02785169,69.71793507,1,2013,2,28,5,0,1,0,0,0,0,18,4,1,4,1,0,5
0,0,1,49,1,0,5,0,0,0,2,0,0,2,0,0,57,11275,445.1441242,39.02439024,69.71175166,1,2013,2,28,5,0,1,0,0,0,0,19,2,0,2,1,0,5
0,0,1,49,2,0,42,0,1,1,0,0,0,1,0,0,3,11275,445.1441242,39.02439024,69.71175166,1,2013,2,28,5,0,1,0,0,0,0,20,4,0,2,1,0,5
1,0,1,49,1,0,22,0,0,0,3,0,0,2,0,1,286,11283,444.8285031,38.99672073,69.66232385,1,2013,2,28,8,0,1,0,0,0,0,21,3,1,3,1,0,5
0,0,1,49,1,0,0,19,0,0,2,0,0,2,0,0,8,11283,445.1830187,38.99672073,69.75095276,1,2013,2,28,8,0,1,0.041666668,0,0.045454547,0,22,2,0,2,1,1,5
0,0,1,49,2,0,34,50,4,0,5,0,0,9,0,0,20,11305,447.6780186,39.62848297,70.49977886,1,2013,2,28,8,0,1,0.04,0,0.04347826,0,23,9,0,9,1,0,5
0,0,1,49,1,0,0,0,0,0,1,0,0,0,0,1,54,11305,447.6780186,39.62848297,70.49977886,1,2013,3,1,6,1,1,0.03846154,0,0.041666668,0,24,1,0,1,1,0,6
0,0,1,49,2,0,56,0,0,0,4,0,0,3,0,1,439,11324,446.926881,39.56199223,70.38149064,1,2013,3,1,20,0,1,0.037037037,0,0.04,0,25,4,1,4,1,0,6
0,0,1,49,1,0,2,0,0,0,1,0,0,1,0,0,31,11324,446.926881,39.56199223,70.38149064,1,2013,3,1,20,0,1,0.035714287,0,0.03846154,0,26,1,0,1,1,0,6
0,0,1,49,1,0,19,0,0,0,4,0,0,3,0,1,897,11334,446.5325569,39.52708664,70.31939298,1,2013,3,1,21,0,1,0.03448276,0,0.037037037,0,27,4,1,4,1,0,6
0,0,1,49,4,0,0,0,1,1,1,0,0,0,0,2,3,11334,446.5325569,39.52708664,70.31939298,1,2013,3,1,22,0,1,0.033333335,0,0.035714287,0,28,8,0,4,1,0,6
0,0,1,49,7,0,181,0,0,0,8,0,0,8,0,0,165,11315,447.2823685,39.59346001,70.43747238,1,2013,3,2,1,1,1,0.032258064,0,0.03448276,0,29,35,0,13,1,0,7
0,0,1,49,1,0,11,0,0,0,2,0,0,1,0,1,311,11324,446.926881,39.56199223,70.38149064,1,2013,3,2,1,0,1,0.03125,0,0.033333335,0,30,2,1,2,1,0,7
0,0,1,49,1,0,0,0,0,0,1,0,0,0,1,0,29,11324,446.926881,39.56199223,70.38149064,1,2013,3,2,1,0,1,0.030303031,0,0.032258064,0,31,1,0,1,1,0,7
0,0,1,49,1,0,2,0,0,0,2,0,0,2,0,0,9,11322,447.0058294,39.56898075,70.39392334,1,2013,3,2,23,0,1,0.029411765,0,0.03125,0,32,2,0,2,1,0,7
0,0,1,49,1,0,0,0,0,0,1,0,0,0,0,1,55,11322,447.0058294,39.56898075,70.39392334,1,2013,3,3,8,1,1,0.028571429,0,0.030303031,0,33,1,0,1,1,0,1
0,0,1,49,1,0,33,0,0,0,1,0,0,1,0,0,29,11330,446.690203,39.54104148,70.34421889,1,2013,3,5,9,2,1,0.027777778,0,0.029411765,0,34,1,0,1,1,0,3
0,1,1,49,1,0,2,0,0,0,1,0,0,1,0,0,261,11338,446.375022,39.51314165,70.29458458,1,2013,3,6,22,0,0,0.024390243,0,0,0,0,1,0,1,1,0,4
0,0,2,49,1,0,2,0,0,0,1,0,0,1,0,0,262,11338,446.375022,39.51314165,70.29458458,1,2013,3,6,22,-1,0,0,0,0,0,0,2,0,2,1,0,4
0,0,1,49,1,0,4,0,0,0,1,0,0,1,0,0,21,11338,446.375022,39.51314165,70.29458458,1,2013,3,6,22,0,0,0.025,0,0.028571429,0,35,6,1,4,1,0,4
0,0,1,49,2,0,6,0,0,0,2,0,0,2,0,0,12,11338,446.375022,39.51314165,70.29458458,1,2013,3,6,22,0,1,0.024390243,0,0.027777778,0,36,2,0,2,1,0,4
0,0,1,49,1,0,16,0,0,0,1,0,0,1,0,0,4,11338,446.375022,39.51314165,70.29458458,1,2013,3,7,19,1,1,0,0,0,0,1,1,0,1,1,0,5
0,0,1,49,1,0,49,0,0,0,2,0,0,2,0,0,41,11363,445.392942,39.42620787,70.13992784,1,2013,3,9,5,2,1,0,0,0,0,2,2,0,2,1,0,7
0,0,1,49,1,0,2,0,0,0,2,0,0,1,0,1,314,11365,445.3145623,39.41926969,70.12758469,1,2013,3,9,18,0,1,0,0,0,0,3,2,1,2,1,0,7
0,1,1,49,1,0,4,0,0,0,1,0,0,1,0,0,24,11365,445.3145623,39.41926969,70.12758469,1,2013,3,9,18,0,0,0,0,0,0,0,1,0,1,1,0,7
0,0,2,49,1,0,2,0,0,0,1,0,0,1,0,0,44,11365,445.3145623,39.41926969,70.12758469,1,2013,3,9,22,-1,0,0,0,0,0,0,2,0,2,2,0,7
0,0,1,49,1,0,7,0,0,0,1,0,0,1,0,0,7,11370,445.1187335,39.40193492,70.09674582,1,2013,3,11,22,2,0,0,0,0,0,1,1,0,1,1,0,2
0,1,1,49,1,0,1,0,0,0,1,0,0,1,0,0,14,11366,445.2753827,39.41580151,70.12141475,0,2013,3,11,23,2,0,0,0,0,0,0,1,0,1,1,0,2
0,0,2,49,1,0,1,0,0,0,1,0,0,1,0,0,15,11371,445.0795884,39.39846979,70.0905813,1,2013,3,12,0,-1,0,0,0,0,0,0,1,0,1,1,0,3
0,0,2,49,1,0,12,0,0,0,3,0,0,3,0,0,35,11386,445.2836817,39.43439311,70.08607061,1,2013,3,14,4,-1,0,0,0,0,0,0,93,1,81,2,0,5
0,0,1,49,1,0,26,19,0,0,5,0,0,5,0,0,53,11373,445.7926668,39.47946892,70.16618307,1,2013,3,14,4,2,1,0,0,0,0,1,5,0,5,1,0,5
0,0,1,49,1,0,7,0,0,0,2,0,0,1,0,1,286,11376,445.6751055,39.46905767,70.14767932,1,2013,3,14,4,0,1,0,0,0,0,2,2,1,2,1,0,5
0,0,1,49,2,0,25,0,0,0,2,0,0,2,0,0,472,11377,445.6359321,39.46558847,70.14151358,1,2013,3,14,4,0,1,0,0,0,0,3,5,0,3,1,0,5
0,0,1,49,1,0,37,0,0,0,7,0,0,7,0,0,510,11392,445.0491573,39.4136236,70.0491573,1,2013,3,14,4,0,0,0,0,0,0,1,7,0,7,1,0,5
0,0,1,49,2,2,17,0,0,0,2,0,0,2,0,0,488,11392,445.0491573,39.4136236,70.0491573,1,2013,3,14,6,0,1,0,0,0,0,2,5,0,3,1,0,5
1,0,1,49,1,0,6,0,0,0,2,0,0,2,0,0,490,11392,445.0491573,39.4136236,70.0491573,1,2013,3,14,19,0,1,0,0,0,0,3,2,0,2,1,0,5
0,0,1,49,1,0,5,16,0,0,3,0,0,3,0,0,481,11394,445.3220994,39.49447077,70.124627,1,2013,3,14,19,0,1,0.25,0.25,0.25,0.25,4,3,0,3,1,1,5
